co2,expireAt._nanoseconds,expireAt._seconds,humidity,iaqi.e_score,iaqi.i_score,iaqi.m_score,iaqi.primary_grade,iaqi.sub_level,iaqiScore,k,macAddress,nox,pm25,temp,timestamp._nanoseconds,timestamp._seconds,tvoc
877.6666870117188,910000000,1778554853,41.19038391113281,,0.394,0.694,보통,,0.694,,d83bda1d5960,1,8.166666984558105,25.006675720214844,999000000,1775962853,128.1666717529297
877.6666870117188,863000000,1778554859,41.23616027832031,,0.393,0.694,보통,,0.694,,d83bda1d5960,1,8.166666984558105,25.024032592773438,953000000,1775962859,130.25
877.6666870117188,913000000,1778554865,41.23997497558594,,0.393,0.694,보통,,0.694,,d83bda1d5960,1,8.166666984558105,25.036048889160156,4000000,1775962866,132.5833282470703
878.3333129882812,23000000,1778554872,41.19419860839844,,0.394,0.696,보통,,0.696,,d83bda1d5960,1,8,25.036048889160156,113000000,1775962872,134.8333282470703
878.6666870117188,888000000,1778554877,41.204689025878906,,0.394,0.697,보통,,0.697,,d83bda1d5960,1,8,25.026702880859375,981000000,1775962877,136
879,905000000,1778554883,41.23234558105469,,0.394,0.698,보통,,0.698,,d83bda1d5960,1,7.833333492279053,25.024032592773438,995000000,1775962883,138
879.3333129882812,921000000,1778554889,41.22185516357422,,0.394,0.698,보통,,0.698,,d83bda1d5960,1,7.833333492279053,25.03337860107422,10000000,1775962890,139.4166717529297
880,759000000,1778554896,41.23616027832031,,0.394,0.7,보통,,0.7,,d83bda1d5960,1,7.666666507720947,25.04405975341797,850000000,1775962896,140.25
880.6666870117188,239000000,1778554902,41.23616027832031,,0.395,0.702,보통,,0.702,,d83bda1d5960,1,7.333333492279053,25.046730041503906,329000000,1775962902,140.6666717529297
881.6666870117188,857000000,1778554908,41.24378967285156,,0.395,0.704,보통,,0.704,,d83bda1d5960,1,7.5,25.025367736816406,949000000,1775962908,140.9166717529297
882.6666870117188,519000000,1778554914,41.25141906738281,,0.395,0.707,보통,,0.707,,d83bda1d5960,1,7.166666507720947,25.02002716064453,610000000,1775962914,141.1666717529297
883.6666870117188,593000000,1778554920,41.248558044433594,,0.396,0.709,보통,,0.709,,d83bda1d5960,1,7,25.034713745117188,684000000,1775962920,141.3333282470703
884.6666870117188,494000000,1778554926,41.268585205078125,,0.396,0.712,보통,,0.712,,d83bda1d5960,1,7,25.034713745117188,583000000,1775962926,141.4166717529297
